Chick,Average_duration
chick21_d0,-0.1437534322638144
chick32_d0,0.26475682887700636
chick348_d1,0.07994867742725287
chick349_d1,0.10686376029232572
chick34_d0,0.12003857524613235
chick350_d1,0.1189408050493424
chick352_d1,0.12280642255029646
chick364_d1,0.19612995052641918
chick368_d1,0.13127117867647012
chick39_d0,0.3663086450960558
chick41_d0,0.28231612693156694
chick430_d1,0.16619887133501116
chick431_d1,0.14027166897410973
chick433_d1,0.1892238386528927
chick434_d1,0.20222757319658122
chick439_d1,0.14965149042393183
chick440_d1,0.19984065333333326
chick45_d0,0.29743305340453824
chick48_d0,0.19986452027026919
